State wise,Number of Electric Vehicle Charging Sanctioned
Uttar Pradesh,207
Maharastra,317
Karnataka,172
Tamil Nadu,256
Gujarat,228
Delhi,72
Bihar,37
Assam,20
Kerala,131
Odisha,18
Andra Pradesh,266
Rajasthan,205
Madhya Pradesh,159
West Bengal,141
Telangana,70
Chandigadh,65
Haryana,50
Meghalaya,40
Sikkim,29
Jammu and Kashmir,25
Chhattisgarh,25
Uttarakand,10
Puducherry,10
Himachal Pradesh,10
